"운동명","운동설명","MET계수"
"이클립스","이클립스",7
"워킹","워킹",4.5
"헬스(가볍게)","헬스(가볍게)",5
"디스코 댄스","디스코 댄스",7.8
"줌바댄스","줌바댄스",5
"상체 근력운동","상체 근력운동",5.5
"유도","유도",10
"건강증진 비디오 게임 보통으로(예, 위피트 등)","건강증진 비디오 게임 보통으로(예, 위피트 등)",3.8
"배드민턴 시합","배드민턴 시합",7
"고정식자전거(격렬하게)","고정식자전거(격렬하게)",10.5
"런지(가볍게)","런지(가볍게)",2.8
"스쿠버 다이빙","스쿠버 다이빙",6
"복싱","복싱",7.8
"트위스트 런","트위스트 런",5
"워킹런지","워킹런지",5.5
"공중걷기","공중걷기",3.5
"프롭테라피","프롭테라피",3.8
"박스점프","박스점프",5.5
"트라이셉스 푸시 다운","트라이셉스 푸시 다운",5
"뒤로 걷기","뒤로 걷기",3
"제자리 걷기","제자리 걷기",2
"레그 익스텐션","레그 익스텐션",5
"이두 컬","이두 컬",5
"해머 컬","해머 컬",5
"크로스 핏","크로스 핏",8
"마운팅클라이밍","마운팅클라이밍",7
"음파진동기","음파진동기",2.5
"와이드 스쿼트","와이드 스쿼트",5.5
"배구연습(일반적인)","배구연습(일반적인)",4
"폼롤러","폼롤러",3
"인클라인 벤치 프레스","인클라인 벤치 프레스",5
"스탠딩 카프 레이즈","스탠딩 카프 레이즈",5
"백 익스텐션","백 익스텐션",3.5
"버티기","버티기",1
"렛 풀 다운","렛 풀 다운",5
"게이트볼","게이트볼",3
"킥 백","킥 백",5
"사이드 밴드","사이드 밴드",3.5
"벤트 오버 레터럴 레이즈","벤트 오버 레터럴 레이즈",5.5
"밸리댄스","밸리댄스",4.5
"(윈드)서핑","(윈드)서핑",5
"방송댄스","방송댄스",7
"조정(로잉머신)","조정(로잉머신)",4.8
"주짓수_시합, 격렬하게","주짓수_시합, 격렬하게",10.3
"파크골프","파크골프",4.3
"어시스트 풀업","어시스트 풀업",5
"힙 어브덕션","힙 어브덕션",5
"세라밴드","세라밴드",3.5
"마운틴 클라이머","마운틴 클라이머",7
"폴댄스","폴댄스",5.5
"벤트 오버 바벨 로우","벤트 오버 바벨 로우",5.5
"리어델트 머신","리어델트 머신",5
"케이블 크로스 오버","케이블 크로스 오버",5
"맨발걷기","맨발걷기",4.5
"씨름","씨름",6
"플랭크","플랭크",3.8
"레그 컬","레그 컬",5
"루마니안 데드리프트","루마니안 데드리프트",5
"레터럴 레이즈","레터럴 레이즈",5
"승마(천천히)","승마(천천히)",3.8
"승마(빠르게)","승마(빠르게)",5.8
"로드자전거(중강도)","로드자전거(중강도)",8
"누워서 걷기","누워서 걷기",3.5
